_id,length,end_node,start_node,street,street_level,street_name,street_type,slat,slng,elat,elng
33056,0,2270170367,5740395721,211232455,1,Quốc lộ 1,trunk,106.5971946,106.5971938,10.7978835,10.7978796
33057,45,5743068491,2270170367,211232455,1,Quốc lộ 1,trunk,106.5971938,106.5971054,10.7978796,10.7974773
33058,83,5023973302,5743068491,211232455,1,Quốc lộ 1,trunk,106.5971054,106.5969436,10.7974773,10.7967403
33059,17,2241417034,5023973302,211232455,1,Quốc lộ 1,trunk,106.5969436,106.5968868,10.7967403,10.7965909
33060,60,5758159424,2241417034,211232455,1,Quốc lộ 1,trunk,106.5968868,106.5967105,10.7965909,10.7960732
33061,13,2386049411,5758159424,211232455,1,Quốc lộ 1,trunk,106.5967105,106.5966716,10.7960732,10.7959589
33062,50,5748431585,2386049411,211232455,1,Quốc lộ 1,trunk,106.5966716,106.5965759,10.7959589,10.7955136
33063,53,2241417026,5748431585,211232455,1,Quốc lộ 1,trunk,106.5965759,106.596475,10.7955136,10.7950446
33064,23,5748432062,2241417026,211232455,1,Quốc lộ 1,trunk,106.596475,106.5964255,10.7950446,10.7948426
33065,75,2386042639,5748432062,211232455,1,Quốc lộ 1,trunk,106.5964255,106.5962638,10.7948426,10.7941833
33066,65,2241417029,2386042639,211232455,1,Quốc lộ 1,trunk,106.5962638,106.5962161,10.7941833,10.7935954
33067,17,5750614581,2241417029,211232455,1,Quốc lộ 1,trunk,106.5962161,106.5961992,10.7935954,10.7934392
33068,18,5750682278,5750614581,211232455,1,Quốc lộ 1,trunk,106.5961992,106.5961812,10.7934392,10.793274
33069,27,2928637331,5750682278,211232455,1,Quốc lộ 1,trunk,106.5961812,106.5961548,10.793274,10.7930303
33070,81,4069532567,2928637331,211232455,1,Quốc lộ 1,trunk,106.5961548,106.5960067,10.7930303,10.7923133
33071,106,5735793244,4069532567,211232455,1,Quốc lộ 1,trunk,106.5960067,106.595799,10.7923133,10.7913758
33072,53,3164004918,5735793244,211232455,1,Quốc lộ 1,trunk,106.595799,106.5956942,10.7913758,10.7909024
33073,31,5737748557,3164004918,211232455,1,Quốc lộ 1,trunk,106.5956942,106.5956414,10.7909024,10.7906227
33074,12,5752806695,5737748557,211232455,1,Quốc lộ 1,trunk,106.5956414,106.595619,10.7906227,10.7905166
33075,65,5752806680,5752806695,211232455,1,Quốc lộ 1,trunk,106.595619,106.5954978,10.7905166,10.7899431
33076,5,2212555541,5752806680,211232455,1,Quốc lộ 1,trunk,106.5954978,106.5954881,10.7899431,10.789897
33077,9,5735793240,2212555541,211232455,1,Quốc lộ 1,trunk,106.5954881,106.5954723,10.789897,10.7898098
33082,24,4069486247,2246657299,211232588,2,Quốc lộ 1,primary,106.6150092,106.6148913,10.842739,10.8425494
33083,21,4069486246,4069486247,211232588,2,Quốc lộ 1,primary,106.6148913,106.6147712,10.8425494,10.8423976
33084,28,2351907450,4069486246,211232588,2,Quốc lộ 1,primary,106.6147712,106.6145823,10.8423976,10.8422179
33185,12,4605285563,366474273,211408254,4,Út Tịch,tertiary,106.6575083,106.6575136,10.8009954,10.8008849
33186,12,366474273,4605285563,211408254,4,Út Tịch,tertiary,106.6575736,106.6575683,10.8008877,10.8009982
33187,4,2513642427,4605285563,211408254,4,Út Tịch,tertiary,106.6575136,106.6575155,10.8008848,10.8008462
33188,4,4605285563,2513642427,211408254,4,Út Tịch,tertiary,106.6575755,106.6575736,10.8008492,10.8008878
33189,68,5762726358,2513642427,211408254,4,Út Tịch,tertiary,106.6575166,106.6576787,10.8008398,10.800247
33190,68,2513642427,5762726358,211408254,4,Út Tịch,tertiary,106.6577365,106.6575744,10.8002628,10.8008556
33223,4,5725019046,1409491228,211408580,2,Lăng Cha Cả,primary,106.6611214,106.6610875,10.8006042,10.8006191
33224,4,1409491234,5725019046,211408580,2,Lăng Cha Cả,primary,106.6610875,106.6610495,10.8006191,10.8006298
33225,5,2079964285,1409491234,211408580,2,Lăng Cha Cả,primary,106.6610495,106.6610032,10.8006298,10.8006285
