,period,segment_id,date,weekday,tomtom_velocity,base_LOS,isHot,weather,temperature,district,lat,lng,is_morning
59,period_15_15,65155,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78084025,106.67591665,0
60,period_15_15,38020,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78076635,106.67605355,0
61,period_15_15,65157,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7808993,106.6758068,0
62,period_15_15,65159,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78098375,106.67564975,0
63,period_15_15,58029,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78554835,106.6671189,0
64,period_15_15,58031,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7853856,106.6674192,0
65,period_15_15,58033,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78522435,106.6677186,0
66,period_15_15,58035,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78505215,106.6680442,0
67,period_15_15,58037,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78482265,106.6684781,0
68,period_15_15,58039,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78464215,106.66881815,0
69,period_15_15,65228,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78448335,106.66911645,0
70,period_15_15,65230,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78432345,106.6694151,0
71,period_15_15,65232,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78415045,106.66973635,0
72,period_15_15,65234,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78405685,106.6699102,0
73,period_15_15,65236,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78400195,106.6700145,0
74,period_15_15,65238,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78391035,106.67018675,0
75,period_15_15,2871,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7764647,106.6634856,0
76,period_15_15,16191,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.77807225,106.6811081,0
77,period_15_15,16193,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7782631,106.6807447,0
78,period_15_15,16195,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7784058,106.6804745,0
79,period_15_15,16197,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.778533,106.6802345,0
80,period_15_15,16199,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.77865765,106.6800007,0
81,period_15_15,16201,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7788048,106.67972585,0
82,period_15_15,16205,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.77925935,106.6788664,0
83,period_15_15,65364,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78128535,106.6750811,0
84,period_15_15,65366,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7814611,106.67475565,0
85,period_15_15,65368,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7816481,106.6744076,0
