,weekday,period,velocity,number_clusters,execution_time_k_mean,execution_time_Agglomerative
0,5,period_16_55,2124,9,2.4500889778137207,1.2753463473655622
1,6,period_16_55,2124,9,1.5020432472229004,1.9827936848427408
2,4,period_16_55,2655,9,1.5886640548706055,1.959768923598475
3,3,period_16_55,2655,9,2.0020880699157715,1.5585868854982432
4,2,period_16_55,2655,8,1.724762201309204,1.7797537686118394
5,0,period_16_55,2124,9,2.1411218643188477,2.2675692283600712
6,1,period_16_55,2124,9,2.794578790664673,2.739538420455384
