,_id,length,end_node,start_node,street,street_level,street_name,street_type,slng,elng,slat,elat,district,lng,lat
33,6123,5,5742713537,366403186,32580124,2,Pham Ngũ Lão,primary,106.6820435,106.6820246,10.8230178,10.8230607,Quận Gò Vấp,106.68203405,10.82303925
34,6124,7,5719227249,5742713537,32580124,2,Pham Ngũ Lão,primary,106.6820246,106.6820018,10.8230607,10.8231208,Quận Gò Vấp,106.6820132,10.823090749999999
35,6125,23,5799069538,5719227249,32580124,2,Pham Ngũ Lão,primary,106.6820018,106.6818929,10.8231208,10.8233063,Quận Gò Vấp,106.68194735,10.82321355
36,6126,56,5786142614,5799069538,32580124,2,Pham Ngũ Lão,primary,106.6818929,106.6816359,10.8233063,10.823744,Quận Gò Vấp,106.68176439999999,10.82352515
37,6127,12,5799069530,5786142614,32580124,2,Pham Ngũ Lão,primary,106.6816359,106.6815797,10.823744,10.8238396,Quận Gò Vấp,106.6816078,10.823791799999999
38,6128,4,5207877506,5799069530,32580124,2,Pham Ngũ Lão,primary,106.6815797,106.6815586,10.8238396,10.8238756,Quận Gò Vấp,106.68156915,10.8238576
39,6129,19,5786142620,5207877506,32580124,2,Pham Ngũ Lão,primary,106.6815586,106.6814736,10.8238756,10.8240249,Quận Gò Vấp,106.68151610000001,10.82395025
40,6130,10,5799069524,5786142620,32580124,2,Pham Ngũ Lão,primary,106.6814736,106.6814275,10.8240249,10.8241059,Quận Gò Vấp,106.68145055,10.824065399999999
41,6131,15,5742675388,5799069524,32580124,2,Pham Ngũ Lão,primary,106.6814275,106.6813567,10.8241059,10.8242303,Quận Gò Vấp,106.6813921,10.8241681
42,6132,35,5799069519,5742675388,32580124,2,Pham Ngũ Lão,primary,106.6813567,106.6811996,10.8242303,10.8245062,Quận Gò Vấp,106.68127815,10.82436825
43,6133,34,1393358848,5799069519,32580124,2,Pham Ngũ Lão,primary,106.6811996,106.681045,10.8245062,10.8247778,Quận Gò Vấp,106.6811223,10.824642
44,6134,12,4903025807,1393358848,32580124,2,Pham Ngũ Lão,primary,106.681045,106.6809928,10.8247778,10.8248739,Quận Gò Vấp,106.6810189,10.82482585
45,6135,30,4898569717,4903025807,32580124,2,Pham Ngũ Lão,primary,106.6809928,106.6808633,10.8248739,10.8251122,Quận Gò Vấp,106.68092805,10.82499305
